1 1
Gladiator2      10.000000 4.062000 5.062000 5.062000 0 1 0 0 0
Gladiator4      11.000000 4.062000 7.062000 7.062000 0 1 0 0 0
Gladiator6      9.000000 4.062000 5.062000 5.062000 0 1 0 0 0
Gladiator8      9.000000 4.062000 8.062000 5.062000 0 1 0 0 0
Alessandro      9.000000 7.062000 7.810000 3.310000 0 6 2 2 0
Gladiator1      11.000000 7.062000 5.062000 7.062000 0 0 1 0 1
Gladiator3      11.000000 4.062000 9.062000 5.062000 0 0 1 0 0
Gladiator5      11.000000 7.062000 9.062000 6.062000 0 0 1 0 0
Gladiator7      9.000000 7.062000 7.062000 5.062000 0 0 1 0 0
Gladiator9      10.000000 7.062000 8.062000 8.062000 0 0 1 0 0
